,0,1
0,https://leetcode.com/tag/array,Array
1,https://leetcode.com/tag/string,String
2,https://leetcode.com/tag/hash-table,Hash Table
3,https://leetcode.com/tag/dynamic-programming,Dynamic Programming
4,https://leetcode.com/tag/math,Math
5,https://leetcode.com/tag/sorting,Sorting
6,https://leetcode.com/tag/greedy,Greedy
7,https://leetcode.com/tag/depth-first-search,Depth-First Search
8,https://leetcode.com/tag/database,Database
9,https://leetcode.com/tag/breadth-first-search,Breadth-First Search
10,https://leetcode.com/tag/tree,Tree
11,https://leetcode.com/tag/binary-search,Binary Search
12,https://leetcode.com/tag/matrix,Matrix
13,https://leetcode.com/tag/binary-tree,Binary Tree
14,https://leetcode.com/tag/two-pointers,Two Pointers
15,https://leetcode.com/tag/bit-manipulation,Bit Manipulation
16,https://leetcode.com/tag/stack,Stack
17,https://leetcode.com/tag/heap-priority-queue,Heap (Priority Queue)
18,https://leetcode.com/tag/design,Design
19,https://leetcode.com/tag/graph,Graph
20,https://leetcode.com/tag/prefix-sum,Prefix Sum
21,https://leetcode.com/tag/simulation,Simulation
22,https://leetcode.com/tag/backtracking,Backtracking
23,https://leetcode.com/tag/counting,Counting
24,https://leetcode.com/tag/sliding-window,Sliding Window
25,https://leetcode.com/tag/union-find,Union Find
26,https://leetcode.com/tag/linked-list,Linked List
27,https://leetcode.com/tag/ordered-set,Ordered Set
28,https://leetcode.com/tag/monotonic-stack,Monotonic Stack
29,https://leetcode.com/tag/enumeration,Enumeration
30,https://leetcode.com/tag/recursion,Recursion
31,https://leetcode.com/tag/trie,Trie
32,https://leetcode.com/tag/divide-and-conquer,Divide and Conquer
33,https://leetcode.com/tag/binary-search-tree,Binary Search Tree
34,https://leetcode.com/tag/bitmask,Bitmask
35,https://leetcode.com/tag/queue,Queue
36,https://leetcode.com/tag/memoization,Memoization
37,https://leetcode.com/tag/geometry,Geometry
38,https://leetcode.com/tag/segment-tree,Segment Tree
39,https://leetcode.com/tag/topological-sort,Topological Sort
40,https://leetcode.com/tag/hash-function,Hash Function
41,https://leetcode.com/tag/game-theory,Game Theory
42,https://leetcode.com/tag/binary-indexed-tree,Binary Indexed Tree
43,https://leetcode.com/tag/number-theory,Number Theory
44,https://leetcode.com/tag/interactive,Interactive
45,https://leetcode.com/tag/string-matching,String Matching
46,https://leetcode.com/tag/rolling-hash,Rolling Hash
47,https://leetcode.com/tag/data-stream,Data Stream
48,https://leetcode.com/tag/shortest-path,Shortest Path
49,https://leetcode.com/tag/combinatorics,Combinatorics
50,https://leetcode.com/tag/randomized,Randomized
51,https://leetcode.com/tag/monotonic-queue,Monotonic Queue
52,https://leetcode.com/tag/brainteaser,Brainteaser
53,https://leetcode.com/tag/merge-sort,Merge Sort
54,https://leetcode.com/tag/iterator,Iterator
55,https://leetcode.com/tag/concurrency,Concurrency
56,https://leetcode.com/tag/doubly-linked-list,Doubly-Linked List
57,https://leetcode.com/tag/probability-and-statistics,Probability and Statistics
58,https://leetcode.com/tag/quickselect,Quickselect
59,https://leetcode.com/tag/bucket-sort,Bucket Sort
60,https://leetcode.com/tag/suffix-array,Suffix Array
61,https://leetcode.com/tag/minimum-spanning-tree,Minimum Spanning Tree
62,https://leetcode.com/tag/counting-sort,Counting Sort
63,https://leetcode.com/tag/shell,Shell
64,https://leetcode.com/tag/line-sweep,Line Sweep
65,https://leetcode.com/tag/reservoir-sampling,Reservoir Sampling
66,https://leetcode.com/tag/eulerian-circuit,Eulerian Circuit
67,https://leetcode.com/tag/radix-sort,Radix Sort
68,https://leetcode.com/tag/strongly-connected-component,Strongly Connected Component
69,https://leetcode.com/tag/rejection-sampling,Rejection Sampling
70,https://leetcode.com/tag/biconnected-component,Biconnected Component
